typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","116","KHM","Cambodia","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5643","false","5","u","5643","false","6155.53","false","0","false",,"191119.55","191119.55","0","false","true",
"C","A","20240101","2024","52","2024","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3483162","false","5","u","3483162","false","18327057.988","true","0","false",,"1013525055.653","1013525055.653","4","false","true",
"C","A","20240101","2024","52","2024","144","LKA","Sri Lanka","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","329","false","5","u","329","false","307.874","true","0","false",,"17026.092","17026.092","4","false","true",
"C","A","20240101","2024","52","2024","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","27056.98","false","5","u","27056.98","false","34970.056","true","0","false",,"1933918.056","1933918.056","4","false","true",
"C","A","20240101","2024","52","2024","156","CHN","China","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3914411919","false","5","u","3914411919","false","3043361312.246","true","0","false",,"61126922874","61126922874","4","false","true",
"C","A","20240101","2024","52","2024","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6429","false","5","u","6429","false","34914.31","false","0","false",,"934717.94","934717.94","0","false","true",
"C","A","20240101","2024","52","2024","188","CRI","Costa Rica","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","68133.74","false","68133.74","false","0","false",,"1076070.5","1076070.5","0","false","true",
"C","A","20240101","2024","52","2024","191","HRV","Croatia","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","580939","false","5","u","580939","false","356009.795","false","0","false",,"30655198","30655198","0","false","true",
"C","A","20240101","2024","52","2024","196","CYP","Cyprus","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","139","false","5","u","139","false","227","false","0","false",,"26294.269","26294.269","0","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5043181","false","5","u","5043181","false","114296229.713","true","0","false",,"3062927304","3062927304","4","false","true",
"C","A","20240101","2024","52","2024","208","DNK","Denmark","X","Export","0","W00","World","0","W00","World","H6","HS","true","850760","Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10172725","false","5","u","10172725","false",,"false","0","false",,"159280404.123","159280404.123","0","false","true",
